City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Poum,-20.2333,164.0167,26.65,69,9,2.07,NC,1615779404
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Huanan,46.2167,130.5167,8.87,52,100,7.73,CN,1615779413
Kahului,20.8947,-156.47,25.0,94,40,2.57,US,1615779194
Ngaoundéré,7.3167,13.5833,18.57,86,100,1.87,CM,1615779414
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
San Patricio,28.017,-97.5169,15.0,82,75,1.54,US,1615779329
Pisco,-13.7,-76.2167,25.0,65,0,1.54,PE,1615779276
Kushima,31.4583,131.2333,16.0,55,75,4.12,JP,1615779415
Saint Paul Harbor,57.79,-152.4072,2.0,60,1,5.66,US,1615779102
Albany,42.6001,-73.9662,-4.44,31,35,3.13,US,1615779219
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Yerofey Pavlovich,53.9667,121.9667,-10.12,63,100,7.48,RU,1615779416
Boulder,40.0833,-105.3505,0.0,100,90,1.54,US,1615779416
Sidi Ben Nour,35.5333,10.9167,14.0,54,2,7.2,TN,1615779416
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Kruisfontein,-34.0033,24.7314,20.0,97,100,0.89,ZA,1615778974
Atuona,-9.8,-139.0333,26.9,69,7,4.74,PF,1615779259
Punta Arenas,-53.15,-70.9167,9.0,87,90,3.09,CL,1615779202
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Apac,1.9756,32.5386,21.11,63,43,1.58,UG,1615779418
Ossora,59.2353,163.0719,-10.39,75,95,1.05,RU,1615779419
Hervey Bay,-25.2986,152.8535,31.67,48,75,5.66,AU,1615779419
Hermanus,-34.4187,19.2345,16.11,95,91,0.45,ZA,1615779264
Nanortalik,60.1432,-45.2371,-1.5,80,100,3.85,GL,1615779420
Darhan,49.4867,105.9228,-6.97,54,0,2.77,MN,1615779420
Nyurba,63.2842,118.3319,-19.3,86,40,4.35,RU,1615779420
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Lorengau,-2.0226,147.2712,29.11,68,98,3.27,PG,1615779321
